no,musisi,judul_lagu,lirik_lagu,label_emosi
22,Hindia,Rumah Ke Rumah,"Maaf jika ku sering buat susah
Indisya Panda Anggra Caca Sismita
Prempuan terkuat dalam hidupku
Terjanglah apa pun yang kalian tuju
Kau datang saat gelapku merekah
Seluruh hatiku untukmu Meidiana
Kau pantas dapatkan yang baik di dunia
Smoga kita bertahan lama","Cinta, Sedih"
23,Hindia,Rumah Ke Rumah,"Mengambil pelajaran jika berpisah
Jikalau suatu saat berujung indah
Catat nama kita dalam sejarah","Sedih, Cinta"
24,Hindia,Rumah Ke Rumah,"Letih mengembara rumah ke rumah
Kadang ku lupa akanmu Amalia
Siap sedia tiap ku bercerita
Ku beruntung jadi anakmu Bunda","Sedih, Cinta"
25,Hindia,Rumah Ke Rumah,"Selalu pada dirimu aku berserah
Jika aku disebut dalam sejarah
Mreka takkan lupa karna siapa",Cinta
26,Hindia,Secukupnya,"Kapan terakhir kali kamu dapat tertidur tenang (renggang)
Tak perlu memikirkan tentang apa yang akan datang di esok hari
Tubuh yang berpatah hati bergantung pada gaji
Berlomba jadi asri mengais validasi","Sedih, Takut"
27,Hindia,Secukupnya,"Dan aku pun terhadir
Seakan paling mahir
Menenangkan dirimu
Yang merasa terpinggirkan dunia
Tak pernah adil",Sedih
28,Hindia,Secukupnya,"Kita semua gagal
Angkat minumanmu
Bersedih bersama-sama
Ah ah ah ah
Sia-sia pada akhirnya
Putus asa terekam pedih semua
Masalahnya lebih dari yang secukupnya",Sedih
29,Hindia,Secukupnya,"Rekam gambar dirimu yang terabadikan bertahun silam
Putra putri sakit hati Ayah Ibu sendiri
Komitmen lama mati hubungan yang menyepi",Sedih
30,Hindia,Secukupnya,"Wisata masa lalu
Kau hanya merindu
Mencari pelarian
Dari pengabdian yang terbakar sirna
Mengapur berdebu",Sedih
31,Hindia,Secukupnya,"Secukupnya kan masih ada
Penggantinya belum waktunya kau bisa
Menjawabnya ah ah ah ah ah secukupnya",Sedih
32,Hindia,Secukupnya,"Semua yang sirna kan kembali lagi
Semua yang sirna kan nanti berganti",Sedih
33,Hindia,Kita Ke Sana,"Rayakan hari ini
Besok sisa sengsara
Belum pulan kau pun di sini
Temani diriku","Senang, Sedih"
34,Hindia,Kita Ke Sana,"Kita bersandiwara
Bicara tak semestinya
Walau kita tahu nyatanya
Semua tak baik saja",Sedih
35,Hindia,Kita Ke Sana,"Ada masanya kita
Mencuri ruang dan waktu
Walau pasti berlalu
Biarkan saja kita ke sana
Selagi masih bisa bersama","Senang, Sedih, Cinta"
36,Hindia,Kita Ke Sana,"Semuanya sementara
Kita di ujung cerita
Untuk lima menit coba kau
Mengambil alih dunia",Sedih
37,Hindia,Kita Ke Sana,"Selama-lamanya (selama-lamanya)
Selagi masih bisa bersama
Bersama oh
Bersama
Bersama oh oh","Cinta, Senang"
38,Hindia,Membasuh,"Selama ini
Ku menanti
Yang kuberikan
Datang berbalik",Sedih
39,Hindia,Membasuh,"Tak kunjung pulang
Apapun yang terbilang
Di daftar pamrihku seorang",Sedih
40,Hindia,Membasuh,"Telat kusadar
Hidup bukanlah
Perihal mengambil yang kau tebar
Sedikit air yang kupunya
Milikmu juga bersama","Sedih, Cinta"
41,Hindia,Membasuh,"Bisakah kita tetap memberi walau tak suci
Bisakah terus mengobati walau membiru
Cukup besar tuk mengampuni tuk mengasihi
Tanpa memperhitungkan masa yang lalu
Walau kering bisakah kita tetap membasuh","Cinta, Sedih"
42,Hindia,Membasuh,"Mengering sumurku terisi kembali
Kutemukan makna hidupku disini","Senang, Cinta"
43,Hindia,Membasuh,"Kita bergerak dan bersuara
Berjalan jauh tumbuh bersama
Sempatkan pulang ke beranda
Tuk mencatat hidup dan harganya","Senang, Cinta"
44,Hindia,"Berdansalah, Karir Ini Tak Ada Artinya","Besok coba kau izin pulang cepat
Bilang saja siapa sedang sakit
Lusa coba izin terlambat
Bilang saja kau celaka sedikit",Sedih
45,Hindia,"Berdansalah, Karir Ini Tak Ada Artinya","Habiskan cutimu sebelum usai
I know you're scared but it's totally fine
Karena kau bukan mesin assembly line
Lihat promo liburan babe that's a sign",Senang
46,Hindia,"Berdansalah, Karir Ini Tak Ada Artinya","Oh karena ku tahu
Kalimat itu ada di ujung mulutmu
Oh karena kau tahu
Tak mau lakukan itu seumur hidupmu",Sedih
47,Hindia,"Berdansalah, Karir Ini Tak Ada Artinya","Lakukan apa yang kau mau sekarang
Saat hatimu bergerak jangan kau larang
Hidup ini tak ada artinya
Maka kau bebas mengarang maknanya seorang
Lakukan apa yang kau mau sekarang
Saat hatimu bergerak jangan kau larang
Lagipula hidup akan berakhir
Maka lakukan apa yang kau mau sekarang",Senang
48,Hindia,"Berdansalah, Karir Ini Tak Ada Artinya","Berdansalah kau raja dunia
Karir ini tak ada artinya
Berdansalah kau ratu dunia
Hidup ini tak ada artinya",Senang
49,Hindia,"Berdansalah, Karir Ini Tak Ada Artinya","Besok coba kau berbohong sedikit (sedikit)
Lalu kau melupa saat diungkit (ungkit)
Bisa juga kau jujur saja (jujur saja)
Separahnya kau akan makin lega",Senang
50,Hindia,"Berdansalah, Karir Ini Tak Ada Artinya","Oh karena ku tahu (tahu)
Kalimat itu ada di ujung mulutmu
Oh karena kau tahu
Utamakanlah dirimu di sisa hidupmu",Senang
51,Hindia,Ramai Sepi Bersama,"Seberapa jauh dari sini
Tembok-tembok ini tak berarti
Asal kulihat senyummu hari ini
Mendengar keluhmu malam nanti","Cinta, Senang"
52,Hindia,Ramai Sepi Bersama,"Saat semua tak jelas arahnya
Kita hanya punya bersama
Lewati curam terjalnya dunia
Ramai sepi ini milik bersama
Ramai sepi ini milik bersama
Kita sama-sama takkan ke mana
Selama kau ada aku tak apa
Apa pun yang terjadi tidak apa","Cinta, Sedih"
53,Hindia,Ramai Sepi Bersama,"Melihat tawa tangis dan isak
Mendengar kabar berbagai macamnya
Kali ini kita belajar banyak
Yang runtuh kita ulangi nantinya","Sedih, Senang"
54,Hindia,Ramai Sepi Bersama,"Saat terasa berat-beratnya
Kutahu kau pun berjuang juga
Hadapi semuanya langsung di muka
Apa pun yang terjadi tidak apa","Sedih, Senang"
55,Hindia,Ramai Sepi Bersama,"Setiap hari ku bersyukur
Melihatmu
Berselimut harapan
Berbekal cerita","Senang, Cinta"
56,Hindia,Untuk Apa / Untuk Apa?,"Rumah ini dahulu sederhana
Ruang demi ruang dibangun bersama
Angan-angan yang dulu mimpi belaka
Kita gapai segala yang tak disangka","Senang, Cinta"
57,Hindia,Untuk Apa / Untuk Apa?,"Tak sadar menimbun lebih berharga
Berdiri di atas yang lebih bermakna
Anak tangga yang berlebihan jumlahnya
Mendaki terus entah mau ke mana",Sedih
58,Hindia,Untuk Apa / Untuk Apa?,"Dan kau selalu bertanya untuk apa
Mengelak kerap kutemukan jawabnya
Medusa dan semakin keras kepala
Seakan hidup hanya untuk bekerja","Sedih, Marah"
59,Hindia,Untuk Apa / Untuk Apa?,"Mengejar mimpi sampai tak punya rasa
Mengejar mimpi sampai lupa keluarga
Mengejar mimpi lupa dunia nyata
Mengejar mimpi tapi tidak bersama","Sedih, Marah"
60,Hindia,Untuk Apa / Untuk Apa?,"Padahal katanya uang takkan kemana
Jika memang rezeki ya kan ditransfer juga
Namun dikejar terus seakan satwa langka
Diprosesnya melintah lupa jadi manusia","Marah, Sedih"
61,Hindia,Untuk Apa / Untuk Apa?,"Melihat hawa jadi panas lupa cuaca
Tertiup angin buah jatuh digigit juga
Seakan perlu banyak seperti Dewa Siwa
Padahal manusia hanya bertangan dua","Marah, Sedih"
62,Hindia,Untuk Apa / Untuk Apa?,"Kasur yang luas tapi bangun sendiri
Mobil baru mengkilap tanpa penumpang di kiri
Banyak sepatu minim privasi susah pergi
PS4 nintendo switch tanpa player dua","Sedih, Cinta"
63,Hindia,Untuk Apa / Untuk Apa?,"Dan dahulu kau bertanya untuk apa
Lalu kuperhatikan ini semua
Barang mahal yang tidak ada harganya
Dan sekarang kubertanya untuk apa",Sedih
64,Hindia,Untuk Apa / Untuk Apa?,"Terlepas apa yang engkau percayai
Tetap takkan ada yang dibawa mati
Kembali ke tanah dan tumbuh cemara
Mana saja harta yang lebih berharga",Sedih
65,Hindia,Untuk Apa / Untuk Apa?,"Menimbun surga yang tak bisa dibagi
Akhirnya pun wafat sendiri-sendiri",Sedih
66,Hindia,Untuk Apa / Untuk Apa?,"Mengangkat ikat rambutmu yang tertinggal
Di lengan kiri mobilku terakhir kita menonton
Jariku tak juga kuat sungguh janggal
Lebih berat dari seribu ton","Sedih, Cinta"
67,Hindia,Untuk Apa / Untuk Apa?,"Satu dari ribuan hal kecil
Yang sekarang menjadi terampil
Menggosok garam di atas luka
Dulu tak ada apa-apanya",Sedih
68,Hindia,Untuk Apa / Untuk Apa?,"Rute pagi yang dahulu ceria
Menu favorit kini hambar rasanya
Foto yang tak berani dilirik mata
Kontak sekarang jadi sebatas nama","Sedih, Cinta"
69,Hindia,Untuk Apa / Untuk Apa?,"Masing-masing selamat dan bercerita
Namun tidak lagi miliki bersama
Cepat namun sendiri untuk apa
Bersama tapi meracuni untuk apa",Sedih
70,Hindia,Untuk Apa / Untuk Apa?,"Cepat namun sendiri untuk apa
Bersama tapi meracuni untuk apa",Sedih
71,Hindia,Mata Air,"Menghabiskan gaji untuk diriku sendiri
Membeli satu tiket film terkini
Memesan yang cukup hanya untuk satu porsi
Menyanyikan Kunto Aji di tengah muda-mudi","Sedih, Senang"
72,Hindia,Mata Air,"Semua jatuh bangunmu hal yang biasa
Angan dan pertanyaan waktu yang menjawabnya
Berikan tenggat waktu bersedih lah secukupnya
Rayakan perasaanmu sebagai manusia","Sedih, Senang"
73,Hindia,Mata Air,"Jika kau pernah tersakiti angkat tangan
Jika kau pernah menyakiti angkat tangan
Jika kau pernah bahagia angkat tangan
Jika kau pernah kecewa angkat tangan","Senang, Sedih"
74,Hindia,Mata Air,"Hidup bukan untuk saling mendahului
Bayangan yang diciptakan oleh mentari
Ada karena matahari bermaksud terpuji
Untukmu cintai diri sendiri hari ini","Senang, Cinta"
75,Hindia,Mata Air,"Mata airmu ada di sini
Mata airmu diri sendiri
Temukan makna hidupmu sendiri
Menarilah dengan bayangan diri sendiri","Senang, Cinta"
76,Hindia,Evakuasi,"Aku hanya ingin ketenangan
Bukan rumah uang atau ketenaran
Aku hanya butuh ketenangan
Ia sangat jauh hanya angan-angan","Sedih, Takut"
77,Hindia,Evakuasi,"Aku hanya ingin ketenangan
Tanpa kabar panggilan dan pertemuan
Aku hanya butuh ketenangan
Menghilangkan diri dari keramaian","Sedih, Takut"
78,Hindia,Evakuasi,"Seribu Tuhan ini berat
Bangun berpura menjadi kuat
Sungguh semua ini bom waktu
Memikul ceritamu
Memikul salahku","Sedih, Takut"
79,Hindia,Evakuasi,"Aku bukan objek validasi
Jauhkan diriku dari foto selfie
Aku bukan objek imitasi
Jangan pakai fotoku di akun pribadi",Marah
80,Hindia,Evakuasi,"Kau tak akan pernah mengenaliku
Berbicara seakan kau tahu diriku
Ku mendoakanmu dari jauh
Tak perlu mengirim pesan di ulang tahunku",Marah
81,Hindia,Evakuasi,"Sekarang ku pergi
Anggap aku mati
Selamatkan diri
Oh evakuasi","Sedih, Marah"
82,Hindia,Evakuasi,"Jangan cari aku
Siang hari sore nanti
Malam ini ku menari
Dengan bayangan diri sendiri",Senang
83,Hindia,Evakuasi,"Aku hanya butuh ketenangan
Ia sangat jauh
Hanya angan-angan
Aku hanya butuh ketenangan",Sedih
84,Hindia,kids,"Pagi ini sumpah kukira kucingku bangunkanku dengan kukunya
Hati sedih saat ku sadar diriku sendirian di luar kota
Far far away from my responsibility of feeding them all on time
Right now so close I know I'm getting what I want I think I need some more dimes","Sedih, Cinta"
85,Hindia,kids,"Dan kadang ku takut kurang luangkan waktu di rumah 'tuk Mimi dan Betty
Terlambat sadar bahwa sepanjang hidup mereka hanya punya diriku","Sedih, Takut, Cinta"
86,Hindia,kids,"Maybe I made one too many mistakes
Just wanna feel their fur one last time
Always I hope that I did them okay
And gave them enough love in their lives","Cinta, Sedih"
87,Hindia,kids,"No I got no answer
I just can't decide
Tak punya jawaban
I just can't decide","Sedih, Takut"
88,Hindia,kids,"Whether I really care about making it big
Or if I really just wanna hop on that plane and go home
Be home with my cats
Be home with my kids","Cinta, Sedih"
89,Hindia,kids,"It was difficult
It's inevitable
Certain all my life
I'd find a way to just not talk about it","Sedih, Takut"
90,Hindia,kids,"Andai kamu ada selamanya
Takkan siap hadapi harinya
Dan saat tiba waktuku juga
Kan ku panggil kau di atas sana","Sedih, Cinta"
91,Hindia,Bayangkan Jika Kita Tidak Menyerah,"Pernah kau bayangkan jika kita menikah
Selucu apa anak-anak karena ibunya manis sekali
Pernah kau bayangkan jika Abang dan Madu hidup selamanya
Menungguku pulang di tur kelima puluh nanti","Cinta, Senang"
92,Hindia,Bayangkan Jika Kita Tidak Menyerah,"Bayangkan jika kita tidak menyerah
Tantangan apa pun dari Ayah atau dunia
Kita hadapi kita lewati kita ikuti kita nikmati
Pemanasan global dan perbedaan agama
Kita hadapi kita lewati
Bayangkan jika kita tidak menyerah
Bayangkan jika kita tidak menyerah","Cinta, Senang"
93,Hindia,Bayangkan Jika Kita Tidak Menyerah,"Pernah kau bayangkan langit Jakarta cerah
Saat kau mendarat pulang pandanganmu tak tertutup polusi
Pernah kau bayangkan percaya dengan yang ada di Istana
Karena yang kita taruh di sana akhirnya memiliki hati","Senang, Cinta"
94,Hindia,Bayangkan Jika Kita Tidak Menyerah,"Pernah kau bayangkan tak takut melihat berita
Tak takut jadi dirimu yang seada-adanya
Tak takut punya mimpi yang lumayan agak gila
Berat tapi besok ada di tangan kita","Senang, Takut"
95,Hindia,Bayangkan Jika Kita Tidak Menyerah,"Aku tahu kuhabiskan rekaman ini banyak mengeluh
Di penghujung album ini satu kesempatan kupakai untuk
Tersenyum tertawa berkhayal maka",Senang
96,Hindia,Bayangkan Jika Kita Tidak Menyerah,"Bayangkan jika kita tidak menyerah
Tantangan apa pun dari Ayah
Dari Bunda dari dunia dari mana hei maju semua
Bayangkan jika kita tidak menyerah
Bayangkan jika kita tidak menyerah","Senang, Cinta"
97,Hindia,Alexandra,"Sasa malam ini mau pergi ke mana
Masih bisakah kau dan teman-temanmu rayakan dunia
Tengah malam ini kan bertemu siapa
Bisakah Ia tersenyum menyikapi dunia
Maukah kalian memaafkan kami semua
Kami rampas berbagai hal yang bisa buatmu bahagia","Sedih, Marah, Takut"
98,Hindia,Alexandra,"Jalanmu berat seumur hidup
Semoga ada bara yang tersisa
Pun kata maaf jauh terlambat datang
Salahkan kami","Sedih, Marah"
99,Hindia,Alexandra,"Jika suatu saat kau jadi Ibu juga
Paman harap kau ajarkan Ia tuk merayakan dunia
Semoga Ia tak ulangi lalai kami semua
Bisakah tak kau rampas api itu dari dalam dirinya","Sedih, Cinta"
100,Hindia,Alexandra,"Salahkan kami kami mengerti
Satu hal yang bisa kau tiru hanya perihal merusak diri
Berharap hal baik yang kau temui hari ini berarti
Saat kau dewasa nanti","Sedih, Marah"
101,Hindia,Tinggalkan Di Sana,"Menikmati Cipete yang sepi
Walau minim yang dapat dikunjungi
Tak hilang indahnya Senopati
Tanpa hiruk-pikuk muda-mudi",Senang
102,Hindia,Tinggalkan Di Sana,"Karena masuk di notification
Langsung diklik dalam milisekon
Mumpung kredit belum kena plafon
Hari raya bukan tentang diskon",Marah
103,Hindia,Tinggalkan Di Sana,"Semua orang pulang kerumah
Meninggalkan raksasa dikota
Dan warna langit mulai berubah
Jadi lebih biru dan ceria",Senang
104,Hindia,Tinggalkan Di Sana,"Tersisa segelintir pejuang
Kali ini kami belum pulang
Mungkin karena sudah tak berkampung
Atau beda tuhan dan pelindung",Sedih
105,Hindia,Tinggalkan Di Sana,"Meleburlah dengan keluarga
Basa-basi yang basi biasa
Tahan-tahan lawan pertanyaan
Yang tak seharusnya ditanyakan
","Sedih, Marah"
106,Hindia,Tinggalkan Di Sana,"Tinggalkan pilihanmu disana
Kembali menjadi manusia
Yang waras menanggapi berita
Tak dipecah yang diatas sana",Senang
107,Hindia,Tinggalkan Di Sana,"Tinggalkan pilihanmu disana
Kembali menjadi manusia
Yang mawas melihat isi kota
Dengan orang yang banyak ragamnya",Senang
108,Hindia,Jam Makan Siang,"Kita manusia
Mahluk mulia
Kita butuh uang
Untuk gali liang","Sedih, Marah"
109,Hindia,Jam Makan Siang,"Tentang angan-anganku
Di jam makan siang
Saat semua orang berjuang
Di ladang yang gersang
Terus merasa kurang
Haus yang mengiang
Siapa yang menang","Sedih, Takut"
110,Hindia,Jam Makan Siang,"Sosial media jual beli surga
Tak ada prospeknya
Tak ada uangnya
Tanah yang melangit
Bumi yang sakit
Cukup dirimu yang tau jalannya","Sedih, Marah"
111,Hindia,Jam Makan Siang,"Boleh berkarya asal hobi saja
Cita-cita cinta dipatah keluarga
Ketika norma peradatan
Terpilih sebagai alasan
Semua berkata
Mimpi sewajarnya","Sedih, Marah"
112,Hindia,Jam Makan Siang,"Ku di antara gemuruh ragu yang menggetarkan jiwa
Seorang manusia yang sedang memimpikan mimpinya
Di atas awan yang menderu
Melamun dia belum merasa saatnya terbangun
Sedang berlayar tinggi-tingginya
Di sini tempatku berlabuh
Jalan yang kutempuh dari dulu
Satu-satunya yang ku tau
Aku cuma bisa jadi aku
Hidup tak semudah membalik telapak tangan
Tak ada jalan singkat tuk menuai yang kau tanam
Sadari yang kau cari itu butuh dirancang
Kecuali dietmu hanya makanan instan","Sedih, Senang"
113,Hindia,Belum Tidur,"Semua yang sirna kan kembali
Semua yang sirna kan terganti
Dan ku bertanya untuk apa
Angan yang belum dijawab juga
Amin paling serius (detik jam)
Simpul jari yang erat (sang gerilyawan)
Doa semakin berat (berdentang mengingatkan)
Rasakanlah (ciri pikiran)
Semua perasaanmu (khas pagi buta menyerang aku)","Sedih, Takut"
114,Hindia,Belum Tidur,"Malam ini (yang tegang)
Milikmu sendiri (terus-terusan)
Melayang dan masuk dalam tubuhmu (merebahlah sedikit badanmu katamu yang memahamiku)
Maunya juga menepi tapi banyak tapi banyak yang belum rapi ya meski masih berantakan
Kami sabar menunggu nyawamu kembali",Sedih
115,Hindia,Belum Tidur,"Dan tidurlah dengan kecepatanmu (juga karya seni)
Saat siap menutup hari (belum tidur bukan lembur)
Dunia berhenti pukul tiga pagi (belum tidur bukan lembur bukan menunggu)
Kejutan",Sedih
116,Hindia,Belum Tidur,"Selamat dan panjang umur
Menghentikan waktu di kamar ini (selamat dan panjang umur)
Selamat dan panjang umur
Selamat dan panjang umur",Senang
117,Hindia,Belum Tidur,"Sibuk mencerna riuh bukan di telinga ku sehat raga
Kau yang tahu tenggat diri sendiri
Lantas berisik di kepala","Sedih, Marah"
118,Hindia,Belum Tidur,"Kau yang tahu racun diri sendiri (datangnya dari mana)
Dunia berhenti pukul tiga pagi (datangnya dari mana)
Datangnya dari mana","Sedih, Takut"
119,Hindia,Belum Tidur,"Menghentikan waktu di kamar ini
Canggih tubuh kan mampu sembuhkan lukanya sendi
Kau yang tahu tenggat diri sendiri
Canggih tubuh kan mampu sembuhkan lukanya sendiri
Kau yang tahu racun diri sendiri",Sedih
120,Hindia,Dehidrasi,"Lihatlah kebunku
Penuh dengan ratusan pesan whatsapp menggebu
Selalu pura pura lupa
Membalas yang meminta","Sedih, Marah"
121,Hindia,Dehidrasi,"Berkarya cuma-cuma nihil m-BCA
Memaksa wawancara dengan pertanyaan yang Itu-itu saja
Dengan yang dulu yakin bahwa ku takkan bisa
Sekarang menyapa seakan sahabat lama
Yang membuat resah oh air yang keruh
Siram jauh tak usah kau sentuh","Marah, Sedih"
122,Hindia,Dehidrasi,"Lepaskan dirimu bersihkan tubuhmu
Dari racun yang mengalir di dalam darahmu
Lepaskan dirimu bersihkan lingkupmu
Dari racun yang bersuara tentang hidupmu",Marah
123,Hindia,Dehidrasi,"Oh hati-hati dalam memilih racunmu
Oh hati-hati dengan hati yang berduri
Oh dehidrasi mata air yang semu
Oh dehidrasi memaksa tanpa mengerti","Marah, Takut"
124,Hindia,Dehidrasi,"Ku diminta bercerita
Ku meninggi sekarang berbeda
Katamu yang ramah katanya
Katamu yang dulu tak pernah ada","Marah, Sedih"
125,Hindia,Apapun Yang Terjadi,"Alarm jam delapan pagi
Karna jam sepuluh kau isi absensi
Kau bangunkan aku stiap hari
Rute yang sama ulangi lagi
Makan malam bersama di Gancy
Hanya bersama di lima hari","Cinta, Senang"
126,Hindia,Apapun Yang Terjadi,"Sering berpisah di akhir pekan
Kau dengan teman-teman
Aku bermain peran
Mulai mempertanyakan
Siapa yang salah benar","Sedih, Marah"
127,Hindia,Apapun Yang Terjadi,"Dulu bersama berburu properti
Dulu antar jemput sekarang pulang sendiri
Di kehidupan kita singgah dan pergi
Apa pun yang terjadi kita abadi","Sedih, Cinta"
128,Hindia,Apapun Yang Terjadi,"Taman yang luas seekor corgi
Kita beri nama Gimli
Kuantar jemput anak setiap pagi
Di kehidupan yang lain","Cinta, Senang"
129,Hindia,Apapun Yang Terjadi,"Ukuran sepatumu pantangan dan dietmu
Masih berguna di masa lalu
Ukuran sepatumu pantangan dan dietmu
Masih berguna di masa lalu","Sedih, Cinta"
130,Hindia,Apapun Yang Terjadi,"Di masa lalu di dalam buku
Dalam sejarah kita masih indah
Walau parau perih di lagu yang lain
Di melodi ini bersyukur pernah terjadi","Sedih, Cinta, Senang"
131,Hindia,Besok Mungkin Kita Sampai,"Luka silet di pipi
Sakitnya setengah mati
Kubawa bekasnya sampai mati
Setidaknya ku tak takut darah lagi","Sedih, Takut"
132,Hindia,Besok Mungkin Kita Sampai,"Mengikuti sepak bola
Dan transfer pemain di berita
Tapi masuk klub fotografi
Karena kaki tak hebat menari",Sedih
133,Hindia,Besok Mungkin Kita Sampai,"Enggan masuk SMA
Hingga malam di Brawijaya
Menunggu pembebasan
Mereka tak paham yang kita wariskan","Sedih, Marah"
134,Hindia,Besok Mungkin Kita Sampai,"Stella bertemu pasangannya
Adrian ke Australia
Kawan-kawan pergi S2
Namun tujuanku belum tiba",Sedih
135,Hindia,Besok Mungkin Kita Sampai,"Tak ada yang tahu
Kapan kau mencapai tuju
Dan percayalah bukan urusanmu untuk menjawab itu
Bersender pada waktu","Sedih, Takut"
136,Hindia,Besok Mungkin Kita Sampai,"Kuatkanlah dirimu
Atas pertanyaan yang memburu
Tentang masa depan pernikahan pendidikan pekerjaan keimanan","Sedih, Takut"
137,Hindia,Besok Mungkin Kita Sampai,"Selalu minta bertemu lagi
Namun hanya bersua di reuni
Nama-nama yang datang dan pergi
Kadang bagai maling di malam hari
Jangan takut melihat yang ambil cuti
Kapan-kapan semoga kau berani
Hidup bukan saling mendahului
Bermimpilah sendiri-sendiri","Sedih, Cinta"
138,Hindia,Besok Mungkin Kita Sampai,"Tak ada yang tahu
Kapan kau mencapai tuju
Dan percayalah bukan urusanmu untuk menjawab itu
Katakan pada dirimu
Besok mungkin kita sampai
Besok mungkin tercapai","Sedih, Senang"
139,Hindia,Setengah Tahun Ini,"Setengah tahun ini kita bertahan
Belajar bermaafan tanpa pertemuan
Setengah tahun ini memanggil Tuhan
Saat bisnis jeblok hilang penghasilan","Sedih, Takut"
